id;name;description;created_at
1;abaft oh;../fake-data/blob/hipster.txt;2026-04-13T01:25:24
2;likewise;../fake-data/blob/hipster.txt;2026-04-12T11:37:52
3;oxidise;../fake-data/blob/hipster.txt;2026-04-13T01:43:48
4;meh;../fake-data/blob/hipster.txt;2026-04-12T17:12:04
5;ugh;../fake-data/blob/hipster.txt;2026-04-13T03:10:48
6;hmph coagulate sociable;../fake-data/blob/hipster.txt;2026-04-13T01:35:25
7;excluding wonderfully now;../fake-data/blob/hipster.txt;2026-04-13T03:01:13
8;although fray;../fake-data/blob/hipster.txt;2026-04-12T17:57:28
9;signature;../fake-data/blob/hipster.txt;2026-04-12T09:49:43
10;scale woot;../fake-data/blob/hipster.txt;2026-04-12T15:11:41
