id;name;description;created_at
1;um squirm amid;../fake-data/blob/hipster.txt;2026-04-12T15:07:35
2;magnificent sharply;../fake-data/blob/hipster.txt;2026-04-12T12:31:58
3;jittery;../fake-data/blob/hipster.txt;2026-04-12T19:29:09
4;kissingly;../fake-data/blob/hipster.txt;2026-04-12T17:57:44
5;ugh marvelous;../fake-data/blob/hipster.txt;2026-04-12T19:14:30
6;transcend greedily;../fake-data/blob/hipster.txt;2026-04-12T14:16:48
7;astride;../fake-data/blob/hipster.txt;2026-04-12T11:54:02
8;when brr;../fake-data/blob/hipster.txt;2026-04-12T12:47:35
9;forswear because;../fake-data/blob/hipster.txt;2026-04-12T20:09:12
10;charter bah;../fake-data/blob/hipster.txt;2026-04-12T08:43:33
